Apartmentname,Addresss,Availability
SOBHA OAKSHIRE,"['Picturesque Tudor Homes', 'Off Bellary Road, Devanahalli, Bengaluru | 3441 to 3467 sq. ft. | 4 BHK Row Houses']",73 Row Houses Available
SOBHA DREAM GARDENS,"['Zen Themed Apartments', 'Off Thanisandra Main Road, Bengaluru | 1004 Sq.ft. - 1058 Sq.ft. | 2 BHK ']",254 Apartments Available
SOBHA VICTORIA PARK – APARTMENTS,"['Victorian Era - Themed Luxury Residences', 'Off Hennur Main Road, Bengaluru | 1419 to 1833 Sq. Ft. | 2 & 3 BHK Apartments']",9 Apartments Available
SOBHA ATHENA,"['Super Luxury Apartments', 'Thanisandra Main Road, Bengaluru | 1682 to 1718 Sq. ft. | 3 BHK']",Sold Out
SOBHA HRC PRISTINE,"['Luxury Apartments and Penthouses', 'Amruthahalli Main Road, Jakkur, Bengaluru | 1459 to 4112 Sq.ft. | 2, 3 & 4 BHK']",2 Apartments Available
Chartered Windsong Phase 2,"['Plotted Development', 'Devanahalli | 1500 Sq.ft to 2561 Sq.ft | ']",Sold Out
SOBHA PALM COURT,"['Luxury Apartments', 'Kogilu Main Road, Yelahanka, Bengaluru | 1300 to 1900 Sq.ft. | 3 BHK']",Sold Out
SOBHA LIFESTYLE LEGACY,"['Super Luxury Villas', 'IVC Road, Devanahalli, Bengaluru | 6100 to 7900 Sq.ft. | 3 & 4 BHK']",Sold Out
SOBHA VICTORIA PARK – ROW HOUSES,"['Victorian Era - Themed Luxury Residences', 'Off Hennur Main Road, Bengaluru | 2646 to 2664 Sq. Ft. | 3 BHK Row houses']",Sold Out
Chartered Woodpecker,"['Plotted Development', 'Devanahalli | 1200 Sq.ft to 2000 Sq.ft | Plots']",Sold Out
SOBHA NEOPOLIS,"['Greek-Themed Luxury Apartments', 'Panathur, Off Marathahalli-ORR, Bengaluru | 1611 to 2481 Sq.ft. | 3 & 4 BHK']",New Launch
SOBHA GALERA,"['Timeless Spanish Homes', 'Near Kannamangala, Bengaluru | 3009 to 4340 sq. ft. | 4 BHK Row Houses']",31 Row Houses Available
SOBHA INSIGNIA,"['Bespoke Luxury Residences', 'Bhoganahalli, Bengaluru | 1819 to 3406 Sq. ft. | 3, 3.5 & 4 BHK']",13 Apartments Available
SOBHA SENTOSA,"['Singapore-themed Luxury Apartments', 'Panathur Main Road, Bengaluru | 1507 to 1804 Sq. ft. | 3 BHK']",3 Apartments Available
SOBHA WINDSOR,"['English Themed Luxury Apartments', 'Whitefield, Bengaluru | 1550 to 2292 Sq.ft. | 3 & 4 BHK']",1 Apartments Available
SOBHA DREAM ACRES,"['Aspiration Themed Apartments', 'Panathur, Off Marathalli Road, Bengaluru | 1007 Sq.ft. – 1020 Sq.ft. | 2 BHK ']",Sold Out
SOBHA LAKE GARDENS,"['Luxury Apartments', 'KR Puram, Bengaluru | 1358 to 1765 Sq.ft. | 2 & 3 BHK']",1 Apartments Available
SOBHA ROYAL PAVILION,"['Rajasthan Themed Luxury Apartments', 'Hadosiddapura, Sarjapur Road, Bengaluru | 1300 to 2232.2 Sq.ft. | 2, 3 & 4 BHK']",Sold Out
SOBHA ROYAL CREST,"['Bangalore Palace-themed Abodes', 'Banashankari, Bengaluru | 1853 to 3448 Sq. Ft. | 3 & 4 BHK Luxury Apartments']",172 Apartments Available
SOBHA MANHATTAN TOWERS – TOWNPARK,"['New York Themed Luxury Apartments', 'Near Electronic City, Bengaluru | 1498 Sq. ft. | 3 BHK']",Sold Out
SOBHA BROOKLYN TOWERS – TOWNPARK,"['New York Themed Residences', 'Near Electronic City, Bengaluru | 1864 to 2402 Sq. Ft. | 3 & 4 BHK']",235 Apartments Available
SOBHA VALLEY VIEW,"['Ready to move-in Luxury Abodes', 'Banashankari, Bengaluru | 1304 to 1817 sq ft | 2 & 3 BHK']",29 Apartments Available
SOBHA ARENA,"['Sports Themed Luxury Apartments', 'Judicial Layout, Kanakapura Main Rd, Bengaluru | 1296 to 2040 Sq.ft. | 2 & 3 BHK']",Sold Out
SOBHA CLOVELLY,"['Australian Boutique Themed Super Luxury Apartment', 'Padmanabhanagar, Bengaluru | 2051 to 4689 Sq.ft. | 3 & 4 BHK']",Sold Out
SOBHA RAJVILAS,"['Luxury Apartments', 'Rajaji Nagar, Bengaluru | 1983 to 2002 Sq.ft. | 3 & 4 BHK']",Sold Out
SOBHA 25 RICHMOND,"['Super Luxury Apartments', 'Richmond Road, Bengaluru | 2700 to 3200 Sq.ft. | 3 BHK']",Sold Out
